,Paragraph Text,Binary Emotion Class/Score,Ekman Emotion Class
0,Through the Trapdoor ,"{'labels': ['neutral'], 'scores': [0.9974632]}","{'labels': ['neutral'], 'scores': [0.9990608]}"
1,"In years to come, Harry would never quite remember how he had managed to get through his exams when he half expected Voldemort to come bursting through the door at any moment. Yet the days crept by, and there could be no doubt that Fluffy was still alive and well behind the locked door. ","{'labels': ['neutral'], 'scores': [0.9980856]}","{'labels': ['neutral'], 'scores': [0.99686015]}"
2,"It was sweltering hot, especially in the large classroom where they did their written papers. They had been given special, new quills for the exams, which had been bewitched with an Anticheating spell. ","{'labels': ['neutral'], 'scores': [0.99872404]}","{'labels': ['neutral'], 'scores': [0.99680483]}"
3,"They had practical exams as well. Professor Flitwick called them one by one into his class to see if they could make a pineapple tapdance across a desk. Professor McGonagall watched them turn a mouse into a snuffbox -- points were given for how pretty the snuffbox was, but taken away if it had whiskers. Snape made them all nervous, breathing down their necks while they tried to remember how to make a Forgetfulness potion. ","{'labels': ['negative', 'neutral'], 'scores': [0.7912619, 0.9941413]}","{'labels': ['fear', 'neutral'], 'scores': [0.35927072, 0.98847383]}"
4,"Harry did the best he could, trying to ignore the stabbing pains in his forehead, which had been bothering him ever since his trip into the forest. Neville thought Harry had a bad case of exam nerves because Harry couldn't sleep, but the truth was that Harry kept being woken by his old nightmare, except that it was now worse than ever because there was a hooded figure dripping blood in it. ","{'labels': ['negative', 'neutral'], 'scores': [0.97347033, 0.50775427]}","{'labels': ['neutral'], 'scores': [0.9813255]}"
5,"Maybe it was because they hadn't seen what Harry had seen in the forest, or because they didn't have scars burning on their foreheads, but Ron and Hermione didn't seem as worried about the Stone as Harry. The idea of Voldemort certainly scared them, but he didn't keep visiting them in dreams, and they were so busy with their studying they didn't have much time to fret about what Snape or anyone else might be up to. ","{'labels': ['neutral'], 'scores': [0.9974074]}","{'labels': ['fear', 'neutral'], 'scores': [0.41095316, 0.9851387]}"
6,"Their very last exam was History of Magic. One hour of answering questions about batty old wizards who'd invented selfstirring cauldrons and they'd be free, free for a whole wonderful week until their exam results came out. When the ghost of Professor Binns told them to put down their quills and roll up their parchment, Harry couldn't help cheering with the rest. ","{'labels': ['neutral', 'positive'], 'scores': [0.9774884, 0.32836708]}","{'labels': ['neutral'], 'scores': [0.9967758]}"
7,"""That was far easier than I thought it would be,"" said Hermione as they joined the crowds flocking out onto the sunny grounds. ""I needn't have learned about the 1637 Werewolf Code of Conduct or the uprising of Elfric the Eager."" ","{'labels': ['neutral'], 'scores': [0.996454]}","{'labels': ['neutral'], 'scores': [0.99905866]}"
8,"Hermione always liked to go through their exam papers afterward, but Ron said this made him feel ill, so they wandered down to the lake and flopped under a tree. The Weasley twins and Lee Jordan were tickling the tentacles of a giant squid, which was basking in the warm shallows. ""No more studying,"" Ron sighed happily, stretching out on the grass. ""You could look more cheerful, Harry, we've got a week before we find out how badly we've done, there's no need to worry yet."" ","{'labels': ['positive'], 'scores': [0.9721991]}","{'labels': ['joy', 'neutral'], 'scores': [0.7183132, 0.971823]}"
9,Harry was rubbing his forehead. ,"{'labels': ['neutral'], 'scores': [0.9989465]}","{'labels': ['neutral'], 'scores': [0.9993024]}"
10,"""I wish I knew what this means!"" he burst out angrily. ""My scar keeps hurting -- it's happened before, but never as often as this."" ","{'labels': ['negative'], 'scores': [0.9990056]}","{'labels': ['anger'], 'scores': [0.9975994]}"
11,"""Go to Madam Pomfrey,"" Hermione suggested. ","{'labels': ['neutral'], 'scores': [0.9994363]}","{'labels': ['neutral'], 'scores': [0.9994685]}"
12,"""I'm not ill,"" said Harry. ""I think it's a warning... it means danger's coming..."" ","{'labels': ['neutral'], 'scores': [0.99891865]}","{'labels': ['neutral'], 'scores': [0.99547195]}"
13,"Ron couldn't get worked up, it was too hot. ","{'labels': ['neutral'], 'scores': [0.99918836]}","{'labels': ['neutral'], 'scores': [0.99794585]}"
14,"""Harry, relax, Hermione's right, the Stone's safe as long as Dumbledore's around. Anyway, we've never had any proof Snape found out how to get past Fluffy. He nearly had his leg ripped off once, he's not going to try it again in a hurry. And Neville will play Quidditch for England before Hagrid lets Dumbledore down."" ","{'labels': ['neutral'], 'scores': [0.9997009]}","{'labels': ['neutral'], 'scores': [0.99962544]}"
15,"Harry nodded, but he couldn't shake off a lurking feeling that there was something he'd forgotten to do, something important. When he tried to explain this, Hermione said, ""That's just the exams. I woke up last night and was halfway through my Transfiguration notes before I remembered we'd done that one."" ","{'labels': ['neutral'], 'scores': [0.99938667]}","{'labels': ['neutral'], 'scores': [0.9984097]}"
16,"Harry was quite sure the unsettled feeling didn't have anything to do with work, though. He watched an owl flutter toward the school across the bright blue sky, a note clamped in its mouth. Hagrid was the only one who ever sent him letters. Hagrid would never betray Dumbledore. Hagrid would never tell anyone how to get past Fluffy... never... but... ","{'labels': ['neutral'], 'scores': [0.999423]}","{'labels': ['neutral'], 'scores': [0.9994324]}"
17,Harry suddenly jumped to his feet. ,"{'labels': ['neutral'], 'scores': [0.997373]}","{'labels': ['neutral', 'surprise'], 'scores': [0.3109835, 0.97678024]}"
18,"""Where're you going?"" said Ron sleepily. ","{'labels': ['neutral'], 'scores': [0.95960325]}","{'labels': ['neutral'], 'scores': [0.9912606]}"
19,"""I've just thought of something,"" said Harry. He had turned white. ""We've got to go and see Hagrid, now."" ","{'labels': ['neutral'], 'scores': [0.99940777]}","{'labels': ['neutral'], 'scores': [0.9995233]}"
20,"""Why?"" panted Hermione, hurrying to keep up. ","{'labels': ['neutral', 'positive'], 'scores': [0.91166866, 0.38307646]}","{'labels': ['neutral'], 'scores': [0.9946491]}"
21,"""Don't you think it's a bit odd,"" said Harry, scrambling up the grassy slope, ""that what Hagrid wants more than anything else is a dragon, and a stranger turns up who just happens to have an egg in his pocket? How many people wander around with dragon eggs if it's against wizard law? Lucky they found Hagrid, don't you think? Why didn't I see it before?"" ","{'labels': ['ambiguous'], 'scores': [0.996221]}","{'labels': ['neutral', 'surprise'], 'scores': [0.6213606, 0.97925067]}"
22,"""What are you talking about?"" said Ron, but Harry, sprinting across the grounds toward the forest, didn't answer. ","{'labels': ['neutral'], 'scores': [0.99719954]}","{'labels': ['neutral', 'surprise'], 'scores': [0.9909977, 0.76897204]}"
23,"Hagrid was sitting in an armchair outside his house; his trousers and sleeves were rolled up, and he was shelling peas into a large bowl. ","{'labels': ['neutral'], 'scores': [0.9979608]}","{'labels': ['neutral'], 'scores': [0.99875796]}"
24,"""Hullo,"" he said, smiling. ""Finished yer exams? Got time fer a drink?"" ","{'labels': ['positive'], 'scores': [0.8961962]}","{'labels': ['joy'], 'scores': [0.99905986]}"
25,"""Yes, please,"" said Ron, but Harry cut him off. ","{'labels': ['neutral'], 'scores': [0.9987686]}","{'labels': ['neutral'], 'scores': [0.99894387]}"
26,"""No, we're in a hurry. Hagrid, I've got to ask you something. You know that night you won Norbert? What did the stranger you were playing cards with look like?"" ","{'labels': ['ambiguous', 'negative'], 'scores': [0.48280382, 0.5393094]}","{'labels': ['neutral'], 'scores': [0.99778455]}"
27,"""Dunno,"" said Hagrid casually, ""he wouldn' take his cloak off."" ","{'labels': ['neutral'], 'scores': [0.999548]}","{'labels': ['neutral'], 'scores': [0.99871874]}"
28,He saw the three of them look stunned and raised his eyebrows. ,"{'labels': ['ambiguous'], 'scores': [0.96044827]}","{'labels': ['neutral', 'surprise'], 'scores': [0.98371637, 0.31755286]}"
29,"""It's not that unusual, yeh get a lot o' funny folk in the Hog's Head -- that's one of the pub down in the village. Mighta bin a dragon dealer, mightn' he? I never saw his face, he kept his hood up."" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.55292773, 0.9905867]}","{'labels': ['surprise'], 'scores': [0.9968749]}"
30,"Harry sank down next to the bowl of peas. ""What did you talk to him about, Hagrid? Did you mention Hogwarts at all?"" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.56429565, 0.9885598]}","{'labels': ['neutral', 'surprise'], 'scores': [0.991034, 0.59902203]}"
31,"""Mighta come up,"" said Hagrid, frowning as he tried to remember. ""Yeah... he asked what I did, an' I told him I was gamekeeper here... He asked a bit about the sorta creatures I took after... so I told him... an' I said what I'd always really wanted was a dragon... an' then... I can' remember too well, 'cause he kept buyin' me drinks... Let's see... yeah, then he said he had the dragon egg an' we could play cards fer it if I wanted... but he had ter be sure I could handle it, he didn' want it ter go ter any old home... So I told him, after Fluffy, a dragon would be easy..."" ","{'labels': ['neutral'], 'scores': [0.9996215]}","{'labels': ['neutral'], 'scores': [0.99941134]}"
32,"""And did he -- did he seem interested in Fluffy?"" Harry asked, trying to keep his voice calm. ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.9589267, 0.87392014]}","{'labels': ['neutral', 'surprise'], 'scores': [0.970256, 0.92058873]}"
33,"""Well -- yeah -- how many three-headed dogs d'yeh meet, even around Hogwarts? So I told him, Fluffy's a piece o' cake if yeh know how to calm him down, jus' play him a bit o' music an' he'll go straight off ter sleep --"" ","{'labels': ['neutral'], 'scores': [0.99923146]}","{'labels': ['neutral'], 'scores': [0.99954873]}"
34,Hagrid suddenly looked horrified. ,"{'labels': ['negative'], 'scores': [0.99644816]}","{'labels': ['fear'], 'scores': [0.9748039]}"
35,"""I shouldn'ta told yeh that!"" he blurted out. ""Forget I said it! Hey -- where're yeh goin'?"" ","{'labels': ['neutral'], 'scores': [0.9987495]}","{'labels': ['neutral'], 'scores': [0.99941766]}"
36,"Harry, Ron, and Hermione didn't speak to each other at all until they came to a halt in the entrance hall, which seemed very cold and gloomy after the grounds. ","{'labels': ['neutral'], 'scores': [0.99905056]}","{'labels': ['neutral'], 'scores': [0.999132]}"
37,"""We've got to go to Dumbledore,"" said Harry. ""Hagrid told that stranger how to get past Fluffy, and it was either Snape or Voldemort under that cloak -- it must've been easy, once he'd got Hagrid drunk. I just hope Dumbledore believes us. Firenze might back us up if Bane doesn't stop him. Where's Dumbledore's office?"" ","{'labels': ['positive'], 'scores': [0.9960199]}","{'labels': ['joy', 'neutral'], 'scores': [0.8098199, 0.9502636]}"
38,"They looked around, as if hoping to see a sign pointing them in the right direction. They had never been told where Dumbledore lived, nor did they know anyone who had been sent to see him. ","{'labels': ['neutral'], 'scores': [0.99960715]}","{'labels': ['neutral'], 'scores': [0.9979843]}"
39,"""We'll just have to --"" Harry began, but a voice suddenly rang across the hall. ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.52055424, 0.98760986]}","{'labels': ['neutral'], 'scores': [0.9987925]}"
40,"""What are you three doing inside?"" ","{'labels': ['ambiguous'], 'scores': [0.9964072]}","{'labels': ['surprise'], 'scores': [0.99824655]}"
41,"It was Professor McGonagall, carrying a large pile of books. ","{'labels': ['neutral'], 'scores': [0.99877995]}","{'labels': ['neutral'], 'scores': [0.99830794]}"
42,"""We want to see Professor Dumbledore,"" said Hermione, rather bravely, Harry and Ron thought. ","{'labels': ['positive'], 'scores': [0.99633527]}","{'labels': ['joy', 'neutral'], 'scores': [0.9935721, 0.52941287]}"
43,"""See Professor Dumbledore?"" Professor McGonagall repeated, as though this was a very fishy thing to want to do. ""Why?"" ","{'labels': ['neutral'], 'scores': [0.99886227]}","{'labels': ['neutral'], 'scores': [0.9449273]}"
44,Harry swallowed -- now what? ,"{'labels': ['neutral'], 'scores': [0.99949896]}","{'labels': ['neutral'], 'scores': [0.9988102]}"
45,"""It's sort of secret,"" he said, but he wished at once he hadn't, because Professor McGonagall's nostrils flared. ","{'labels': ['neutral'], 'scores': [0.99959046]}","{'labels': ['neutral'], 'scores': [0.9992873]}"
46,"""Professor Dumbledore left ten minutes ago,"" she said coldly. ""He received an urgent owl from the Ministry of Magic and flew off for London at once."" ","{'labels': ['negative'], 'scores': [0.9949837]}","{'labels': ['anger', 'neutral'], 'scores': [0.6733164, 0.9680747]}"
47,"""He's gone?"" said Harry frantically. ""Now?"" ","{'labels': ['negative'], 'scores': [0.7334524]}","{'labels': ['surprise'], 'scores': [0.9989371]}"
48,"""Professor Dumbledore is a very great wizard, Potter, he has many demands on his time - "" ","{'labels': ['positive'], 'scores': [0.9982077]}","{'labels': ['joy'], 'scores': [0.9994584]}"
49,"""But this is important."" ","{'labels': ['neutral', 'positive'], 'scores': [0.7440198, 0.99647325]}","{'labels': ['joy', 'neutral'], 'scores': [0.9150183, 0.95610446]}"
50,"""Something you have to say is more important than the Ministry of Magic, Potter?"" ","{'labels': ['neutral'], 'scores': [0.9982627]}","{'labels': ['neutral'], 'scores': [0.9994677]}"
51,"""Look,"" said Harry, throwing caution to the winds, ""Professor -- it's about the Sorcerer's Stone --"" ","{'labels': ['neutral'], 'scores': [0.9995183]}","{'labels': ['neutral'], 'scores': [0.99871075]}"
52,"Whatever Professor McGonagall had expected, it wasn't that. The books she was carrying tumbled out of her arms, but she didn't pick them up. ","{'labels': ['neutral'], 'scores': [0.99925476]}","{'labels': ['neutral'], 'scores': [0.99925333]}"
53,"""How do you know --?"" she spluttered. ","{'labels': ['ambiguous'], 'scores': [0.9965403]}","{'labels': ['neutral', 'surprise'], 'scores': [0.63308376, 0.9416892]}"
54,"""Professor, I think -- I know -- that Sn-- that someone's going to try and steal the Stone. I've got to talk to Professor Dumbledore."" ","{'labels': ['neutral'], 'scores': [0.9979169]}","{'labels': ['neutral'], 'scores': [0.9995395]}"
55,She eyed him with a mixture of shock and suspicion. ,"{'labels': ['ambiguous'], 'scores': [0.99803096]}","{'labels': ['surprise'], 'scores': [0.99862444]}"
56,"""Professor Dumbledore will be back tomorrow,"" she said finally. ""I don't know how you found out about the Stone, but rest assured, no one can possibly steal it, it's too well protected."" ","{'labels': ['neutral'], 'scores': [0.999041]}","{'labels': ['neutral'], 'scores': [0.9986089]}"
57,"""But Professor --"" ","{'labels': ['neutral'], 'scores': [0.9995864]}","{'labels': ['neutral'], 'scores': [0.99943715]}"
58,"""Potter, I know what I'm talking about,"" she said shortly. She bent down and gathered up the fallen books. ""I suggest you all go back outside and enjoy the sunshine."" ","{'labels': ['positive'], 'scores': [0.99893814]}","{'labels': ['joy'], 'scores': [0.99923396]}"
59,But they didn't. ,"{'labels': ['neutral'], 'scores': [0.9950086]}","{'labels': ['neutral'], 'scores': [0.99810106]}"
60,"""It's tonight,"" said Harry, once he was sure Professor McGonagall was out of earshot. ""Snape's going through the trapdoor tonight. He's found out everything he needs, and now he's got Dumbledore out of the way. He sent that note, I bet the Ministry of Magic will get a real shock when Dumbledore turns up."" ","{'labels': ['neutral'], 'scores': [0.9995296]}","{'labels': ['neutral', 'surprise'], 'scores': [0.9743698, 0.70191383]}"
61,"""But what can we --"" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.7236242, 0.98840976]}","{'labels': ['neutral', 'surprise'], 'scores': [0.4525844, 0.9788648]}"
62,Hermione gasped. Harry and Ron wheeled round. ,"{'labels': ['neutral'], 'scores': [0.9993592]}","{'labels': ['neutral'], 'scores': [0.99897206]}"
63,Snape was standing there. ,"{'labels': ['negative', 'neutral'], 'scores': [0.96741486, 0.99610716]}","{'labels': ['neutral'], 'scores': [0.9992631]}"
64,"""Good afternoon,"" he said smoothly. ","{'labels': ['neutral', 'positive'], 'scores': [0.95618725, 0.8363905]}","{'labels': ['joy', 'neutral'], 'scores': [0.8617834, 0.9744947]}"
65,They stared at him. ,"{'labels': ['neutral'], 'scores': [0.99914837]}","{'labels': ['neutral'], 'scores': [0.99894303]}"
66,"""You shouldn't be inside on a day like this,"" he said, with an odd, twisted smile. ","{'labels': ['negative', 'neutral'], 'scores': [0.9891195, 0.9804565]}","{'labels': ['neutral'], 'scores': [0.9990336]}"
67,"""We were --"" Harry began, without any idea what he was going to say. ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.99139106, 0.5544341]}","{'labels': ['surprise'], 'scores': [0.99708396]}"
68,"""You want to be more careful,"" said Snape. ""Hanging around like this, people will think you're up to something. And Gryffindor really can't afford to lose any more points, can it?"" ","{'labels': ['neutral'], 'scores': [0.9972357]}","{'labels': ['neutral', 'surprise'], 'scores': [0.74604684, 0.9863494]}"
69,"Harry flushed. They turned to go outside, but Snape called them back. ","{'labels': ['negative', 'neutral'], 'scores': [0.42863074, 0.9981193]}","{'labels': ['neutral'], 'scores': [0.9980957]}"
70,"""Be warned, Potter -- any more nighttime wanderings and I will personally make sure you are expelled. Good day to you."" ","{'labels': ['negative', 'neutral'], 'scores': [0.51813716, 0.98553085]}","{'labels': ['joy', 'neutral'], 'scores': [0.915046, 0.6800246]}"
71,He strode off in the direction of the staffroom. ,"{'labels': ['neutral'], 'scores': [0.9994148]}","{'labels': ['neutral'], 'scores': [0.99788946]}"
72,"Out on the stone steps, Harry turned to the others. ","{'labels': ['neutral'], 'scores': [0.99857914]}","{'labels': ['neutral'], 'scores': [0.9992467]}"
73,"""Right, here's what we've got to do,"" he whispered urgently. ""One of us has got to keep an eye on Snape -- wait outside the staff room and follow him if he leaves it. Hermione, you'd better do that."" ","{'labels': ['neutral'], 'scores': [0.99964786]}","{'labels': ['neutral'], 'scores': [0.99912375]}"
74,"""Why me?"" ","{'labels': ['neutral'], 'scores': [0.9971029]}","{'labels': ['neutral'], 'scores': [0.9987086]}"
75,"""It's obvious,"" said Ron. ""You can pretend to be waiting for Professor Flitwick, you know."" He put on a high voice, ""'Oh Professor Flitwick, I'm so worried, I think I got question fourteen b wrong... '"" ","{'labels': ['negative'], 'scores': [0.9982967]}","{'labels': ['fear', 'neutral'], 'scores': [0.9536931, 0.47132996]}"
76,"""Oh, shut up,"" said Hermione, but she agreed to go and watch out for Snape. ","{'labels': ['neutral'], 'scores': [0.9948087]}","{'labels': ['neutral'], 'scores': [0.99267733]}"
77,"""And we'd better stay outside the third-floor corridor,"" Harry told Ron. ""Come on."" ","{'labels': ['neutral'], 'scores': [0.9993187]}","{'labels': ['neutral'], 'scores': [0.9988391]}"
78,"But that part of the plan didn't work. No sooner had they reached the door separating Fluffy from the rest of the school than Professor McGonagall turned up again and this time, she lost her temper. ","{'labels': ['negative'], 'scores': [0.99205184]}","{'labels': ['anger'], 'scores': [0.9244664]}"
79,"""I suppose you think you're harder to get past than a pack of enchantments!"" she stormed. ""Enough of this nonsense! If I hear you've come anywhere near here again, I'll take another fifty points from Gryffindor! Yes, Weasley, from my own house!"" ","{'labels': ['neutral'], 'scores': [0.9985241]}","{'labels': ['neutral'], 'scores': [0.99891853]}"
80,"Harry and Ron went back to the common room, Harry had just said, ""At least Hermione's on Snape's tail,"" when the portrait of the Fat Lady swung open and Hermione came in. ","{'labels': ['neutral'], 'scores': [0.9993511]}","{'labels': ['neutral'], 'scores': [0.9995277]}"
81,"""I'm sorry, Harry!"" she wailed. ""Snape came out and asked me what I was doing, so I said I was waiting for Flitwick, and Snape went to get him, and I've only just got away, I don't know where Snape went."" ","{'labels': ['negative', 'neutral'], 'scores': [0.98879135, 0.9707685]}","{'labels': ['sadness'], 'scores': [0.99554586]}"
82,"""Well, that's it then, isn't it?"" Harry said. ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.3036026, 0.9401596]}","{'labels': ['neutral', 'surprise'], 'scores': [0.8952518, 0.90949273]}"
83,The other two stared at him. He was pale and his eyes were glittering. ,"{'labels': ['neutral'], 'scores': [0.9980677]}","{'labels': ['neutral'], 'scores': [0.9969927]}"
84,"""I'm going out of here tonight and I'm going to try and get to the Stone first."" ","{'labels': ['neutral'], 'scores': [0.9994103]}","{'labels': ['neutral'], 'scores': [0.9994804]}"
85,"""You're mad!"" said Ron. ","{'labels': ['neutral'], 'scores': [0.9975079]}","{'labels': ['anger', 'neutral'], 'scores': [0.36205298, 0.9950157]}"
86,"""You can't!"" said Hermione. ""After what McGonagall and Snape have said? You'll be expelled!"" ","{'labels': ['negative', 'neutral'], 'scores': [0.8291751, 0.9825401]}","{'labels': ['neutral'], 'scores': [0.998047]}"
87,"""SO WHAT"" Harry shouted. ""Don't you understand? If Snape gets hold of the Stone, Voldemort's coming back! Haven't you heard what it was like when he was trying to take over? There won't be any Hogwarts to get expelled from! He'll flatten it, or turn it into a school for the Dark Arts! Losing points doesn't matter anymore, can't you see? D'you think he'll leave you and your families alone if Gryffindor wins the house cup? If I get caught before I can get to the Stone, well, I'll have to go back to the Dursleys and wait for Voldemort to find me there, it's only dying a bit later than I would have, because I'm never going over to the Dark Side! I'm going through that trapdoor tonight and nothing you two say is going to stop me! Voldemort killed my parents, remember?"" ","{'labels': ['negative'], 'scores': [0.99052364]}","{'labels': ['neutral'], 'scores': [0.9884858]}"
88,He glared at them. ,"{'labels': ['neutral'], 'scores': [0.9989561]}","{'labels': ['neutral'], 'scores': [0.99741024]}"
89,"""You're right Harry,"" said Hermione in a small voice. ","{'labels': ['positive'], 'scores': [0.9988845]}","{'labels': ['joy'], 'scores': [0.99813]}"
90,"""I'll use the invisibility cloak,"" said Harry. ""It's just lucky I got it back."" ","{'labels': ['positive'], 'scores': [0.99864787]}","{'labels': ['joy'], 'scores': [0.9972606]}"
91,"""But will it cover all three of us?"" said Ron. ","{'labels': ['ambiguous'], 'scores': [0.9965821]}","{'labels': ['neutral'], 'scores': [0.9980603]}"
92,"""All -- all three of us?"" ","{'labels': ['neutral'], 'scores': [0.99613106]}","{'labels': ['neutral'], 'scores': [0.99895334]}"
